"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621256429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621256430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621256431,0,0,0,0,0,0,73,9,147,0,0,0,0,0,73,9,147
1621256432,0,0,0,0,0,14,109,83,219,0,73,9,147,14,36,74,72
1621256433,0,0,0,0,0,34,157,123,315,14,109,83,219,20,48,40,96
1621256434,0,0,0,0,0,42,204,174,409,34,157,123,315,8,47,51,94
1621256435,0,1,0,0,0,59,239,216,479,42,204,174,409,17,35,42,70
1621256436,0,0,0,0,0,91,284,280,569,59,239,216,479,32,45,64,90
1621256437,0,0,0,0,0,114,312,326,625,91,284,280,569,23,28,46,56
1621256438,0,0,0,0,0,114,312,326,625,114,312,326,625,0,0,0,0
1621256439,0,0,0,0,0,114,312,326,625,114,312,326,625,0,0,0,0
1621256440,0,0,0,0,0,175,384,411,769,114,312,326,625,61,72,85,144
1621256441,0,1,0,0,0,207,429,475,859,175,384,411,769,32,45,64,90
1621256442,0,0,0,0,0,238,475,537,951,207,429,475,859,31,46,62,92
1621256443,0,1,0,0,0,263,510,587,1021,238,475,537,951,25,35,50,70
1621256444,0,0,0,0,0,295,556,651,1113,263,510,587,1021,32,46,64,92
1621256445,0,0,0,0,0,327,602,715,1205,295,556,651,1113,32,46,64,92
1621256446,0,0,0,0,0,359,648,779,1297,327,602,715,1205,32,46,64,92
1621256447,0,0,0,0,0,383,678,827,1357,359,648,779,1297,24,30,48,60
1621256448,0,0,0,0,0,400,700,848,1401,383,678,827,1357,17,22,21,44
1621256449,0,0,0,0,0,409,769,917,1539,400,700,848,1401,9,69,69,138
1621256450,0,1,0,0,0,433,812,965,1625,409,769,917,1539,24,43,48,86
1621256451,0,0,0,0,0,458,857,1015,1715,433,812,965,1625,25,45,50,90
1621256452,0,0,0,0,0,483,902,1065,1806,458,857,1015,1715,25,45,50,91
1621256453,0,0,0,0,0,508,947,1115,1896,483,902,1065,1806,25,45,50,90
1621256454,0,0,0,0,0,534,992,1167,1986,508,947,1115,1896,26,45,52,90
1621256455,0,0,0,0,0,553,1026,1205,2054,534,992,1167,1986,19,34,38,68
1621256456,0,0,0,0,0,560,1074,1238,2150,553,1026,1205,2054,7,48,33,96
